Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,полная занятость,частичная занятость,проектная работа,стажировка,волонтерство,гибкий график,полный день,сменный график,вахтовый метод,удаленная работа,ЗП (руб)
Начинающий специалист по защите информации,СКБ Контур,Менеджер по продажам,12.05.2019 23:51,Не указано,высшее,Ж,24,15.0,Санкт-Петербург,False,True,True,False,False,True,False,False,True,False,False,False,40000
Системный администратор,Жкх,Системный администратор,18.04.2019 20:45,Имеется собственный автомобиль,среднее,М,26,12.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,20000
Python developer,Казанский (Приволжский) федеральный университет,Преподаватель программирования,07.05.2019 13:17,Не указано,высшее,М,27,4.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,27000
Аналитик,"ПромИнфоКонсалт, ООО",Методист,17.04.2019 06:56,Имеется собственный автомобиль,высшее,Ж,23,13.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,35000
QA Engineer,Test.io,Тестировщик ПО,22.04.2019 00:11,Не указано,высшее,М,30,8.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,38376
Контент-менеджер,МСПК Витязь,Контент-менеджер,15.04.2019 23:23,Не указано,высшее,Ж,32,25.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,10000
IT-менеджер,"ооо ""ШОТТ ФП""",Младший оператор стекла,16.04.2019 18:48,Не указано,среднее специальное,М,23,19.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
"Системный администратор, тестировщик, консультант, программист",Ростелеком,Агент активных продаж,19.04.2019 10:19,Не указано,неоконченное высшее,М,24,17.0,другие,False,True,True,True,False,False,False,True,True,True,False,False,30000
Специалист по IT,РЖД Главный вычислительный центр ОСК ИнфоТранс,Старший специалист,26.04.2019 14:09,Не указано,среднее специальное,М,22,16.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,68000
"Веб разработчик, Верстальщик",Freelancer,HTML-верстальщик,25.04.2019 09:43,Не указано,среднее специальное,М,29,7.0,другие,True,True,True,True,True,False,False,False,False,False,False,True,20000
Стажер,Nivea,Консультант,21.04.2019 11:57,Не указано,высшее,Ж,22,2.0,город-миллионник,False,False,False,True,False,False,False,True,False,True,False,False,10000
Инженер-программист,ФГБОУ ВО ЮРГПУ (НПИ) им. М.И. Платова,ассистент преподавателя,15.04.2019 11:20,Не указано,высшее,М,26,22.0,другие,True,False,True,False,False,False,False,False,True,False,False,False,20000
Системный администратор,"ООО ""КомпАс""",Администратор сервисного центра,11.04.2019 10:26,Не указано,неоконченное высшее,М,25,12.0,другие,True,False,True,False,False,False,False,True,True,False,False,False,20000
Frontend-разработчик,"Ариороса, ООО",Frontend-разработчик,19.04.2019 19:45,Имеется собственный автомобиль,высшее,М,26,19.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,25000
Инженер по техносферной безопасности,ГУП ТАЛКО,Инженер по охране труда и технике безопасности,07.05.2019 16:39,Не указано,высшее,М,24,5.0,Санкт-Петербург,False,True,True,True,True,False,False,True,True,True,False,False,35000
Специалист технической поддержки,"Дельта, ООО",Коммерческий представитель,19.04.2019 17:17,Не указано,высшее,М,25,12.0,Санкт-Петербург,False,False,True,True,True,False,False,False,False,False,False,True,35000
Frontend-разработчик,"ООО ""Гикбрейнс""","Преподаватель курсов вебинаров по HTML, CSS, JavaScript",22.04.2019 18:58,Не указано,высшее,М,27,25.0,Санкт-Петербург,False,True,True,True,True,True,False,True,True,False,False,True,100000
Junior Javascript Developer,Luckyshop,Верстальщик,18.04.2019 18:56,Не указано,высшее,М,24,9.0,Санкт-Петербург,False,True,True,False,True,True,False,True,True,True,False,True,45000
Системный аналитик,АЛМАТЕЛ,Специалист технического учета,13.04.2019 10:26,Не указано,высшее,М,23,20.0,Москва,False,True,True,True,False,True,False,True,True,True,False,True,50000
Аналитик,"ООО ""Тризам""",Бухгалтер,07.05.2019 11:55,Не указано,высшее,Ж,25,10.0,Москва,False,False,True,True,False,False,False,False,True,True,False,False,40000
IT-инженер,"ЦКП""АЛЬБУС""",IT-инженер,15.04.2019 09:30,Имеется собственный автомобиль,высшее,М,26,23.0,другие,True,False,True,True,False,False,False,True,True,False,False,False,40000
технический администратор,"ООО Ксерокс СНГ, аутсорсинг Deloitte&Touche",технический администратор,25.04.2019 21:06,Не указано,среднее специальное,М,24,17.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,30000
"Специалист по защите информации, инженер АСУ ТП",Институт общественных помощников Главы РСО-Алания,Специалист по защите информации,08.04.2019 10:49,Не указано,среднее,М,22,4.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,30000
junior web-designer ux/ui,Yappi,Печатник,10.04.2019 21:21,Не указано,среднее специальное,Ж,23,20.0,Москва,False,False,True,False,False,False,False,True,True,True,False,True,40000
Техник-программист,Почта Банк,ФИНАНСОВЫЙ ЭКСПЕРТ,18.04.2019 20:02,Не указано,среднее специальное,М,22,12.0,Санкт-Петербург,True,True,True,True,False,True,False,True,True,True,False,False,45000
Инженер-программист,Uchi.ru,Преподаватель,26.04.2019 15:23,Не указано,высшее,М,24,3.0,Санкт-Петербург,True,True,True,False,False,False,False,False,True,True,False,False,25000
Менеджер,Красноярская ярмарка,Менеджер отдела по работе с клиентами (B2b),19.04.2019 06:45,Не указано,высшее,Ж,25,12.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,15000
Специалист по IT,Tec.uz,Продавец-консультант,22.04.2019 10:50,Не указано,неоконченное высшее,М,19,1.0,другие,False,False,False,True,False,True,False,True,False,False,False,True,7564
Техник,Чоп Беркут,Техник,08.04.2019 11:43,Имеется собственный автомобиль,неоконченное высшее,М,28,26.0,другие,False,True,True,False,False,False,False,False,True,True,False,False,30000
Junior+/Middle iOS-разработчик,Electrolux,Mobile App Developer,22.04.2019 17:52,Не указано,высшее,М,26,7.0,Санкт-Петербург,True,False,True,False,False,False,False,False,True,False,False,False,100000
Сетевой инженер,Избирательная комиссия Ставропольского края,Инженер информационного центра,08.05.2019 21:43,Не указано,высшее,М,24,9.0,другие,True,True,True,False,False,False,False,False,True,False,False,True,60000
Комьюнити-менеджер,Т28,Асистент руководителя по организации мероприятий (проектная работа),07.05.2019 12:03,Не указано,высшее,М,22,3.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,45000
3D-дизайнер,Ивникс,3д дизайнер визуализатор,17.04.2019 11:01,Не указано,среднее,Ж,18,2.0,другие,False,False,True,True,True,True,True,True,False,True,True,True,80000
Менеджер интернет-проекта,Парсек-М,Специалист службы технической поддержки,10.05.2019 10:13,Не указано,высшее,Ж,22,12.0,другие,False,False,True,True,False,False,False,True,True,True,False,True,30000
Модератор,«Одень-вся»,Модератор,06.04.2019 23:00,Имеется собственный автомобиль,высшее,Ж,23,6.0,другие,False,False,True,True,False,False,False,False,True,False,False,True,10000
Менеджер продукта,ООО «РАШН РОБОТИКС»,Менеджер проектов,26.04.2019 22:59,Не указано,высшее,Ж,25,15.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,40000
Менеджер,Первая Экспедиционная Компания,Менеджер,25.04.2019 04:57,Не указано,неоконченное высшее,Ж,20,3.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,40000
Программист 1С,"Софт-Сервис, Группа Компаний",Разработчик 1С,26.04.2019 13:54,Не указано,высшее,Ж,31,12.0,город-миллионник,False,True,True,False,False,False,False,False,True,True,False,False,50000
PHP Developer,IVengo-Mobile,Symfony middle developer,26.04.2019 05:34,Не указано,неоконченное высшее,М,23,21.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,90000
Фронтенд-разработчик (HTML/CSS/JS/Vue.js),"OOO ""КОМПЛИЦЕРТЕ ТЕХ""",Frontend-разработчик (Vue.js / SPA / PWA),19.04.2019 22:18,Не указано,высшее,Ж,40,30.0,другие,True,True,True,True,False,False,False,True,True,False,False,True,65000
"ГИС специалист, ГИС Аналитик",ГБУ «Центр информационных технологий Волгоградкой области»,"Инженер 1 категории, Отдел развития инфраструктуры пространственных данных",10.04.2019 11:07,Имеется собственный автомобиль,высшее,М,21,11.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,43000
Системный администратор,"Администрация ""МО гор. Ахтубинск""",Системный администратор,16.04.2019 16:19,Не указано,среднее специальное,М,23,14.0,другие,False,False,True,True,False,False,False,True,True,True,False,True,25000
Web-разработчик,Menocom,Web-программист,12.04.2019 05:01,Не указано,среднее специальное,М,23,18.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,40000
Оператор,-,-,10.04.2019 15:29,Не указано,среднее специальное,Ж,23,9.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,20000
Системный администратор,Губернский лицей,Заведующий складом/системный администратор,07.05.2019 08:35,Имеется собственный автомобиль,высшее,М,25,24.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
Аналитик,Банк Хлынов,Менеджер по работе с клиентами,07.05.2019 15:52,Не указано,высшее,Ж,24,21.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,60000
Специалист технической поддержки,Moscow Business School,Специаоист технмческой поддержки,08.04.2019 10:08,Не указано,среднее специальное,М,22,6.0,Москва,False,True,True,True,False,False,False,True,True,True,False,False,40000
Junior+/Middle iOS-разработчик,Electrolux,Mobile App Developer,07.05.2019 13:07,Не указано,высшее,М,26,8.0,Санкт-Петербург,True,False,True,False,False,False,False,False,True,False,False,False,100000
Frontend-разработчик,Cronix,Frontend-разработчик,22.04.2019 09:51,Не указано,высшее,М,27,19.0,Москва,True,True,True,False,False,False,False,False,True,False,False,True,90000
Frontend-разработчик,Fund Platform,Дизайнер-верстальщик,10.04.2019 09:22,Не указано,среднее,М,21,10.0,другие,True,True,True,True,True,False,False,True,True,False,False,True,45000
Системный администратор,Альткомьпютерс,Системный администратор,14.04.2019 19:45,Не указано,высшее,М,24,10.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Веб-разработчик,"АО ""АВЕЕВО""",Frontend-разработчик,26.04.2019 12:14,Не указано,высшее,М,24,9.0,другие,False,True,True,True,False,False,False,False,False,False,False,True,35000
Радиотехник,КТ МТУСИ,"Лаборанта кафедры “Радиосвязь, радиовещание и телевидения”",26.04.2019 11:48,Не указано,среднее специальное,М,19,15.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,35000
Веб-программист,Маркет Трейд,ВЕб разработчик - верстальщик,14.05.2019 13:16,Не указано,неоконченное высшее,М,36,28.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,50000
Системный администратор,"ГРИНН, Корпорация, ЗАО",Сетевой администратор,07.05.2019 09:55,Не указано,высшее,М,23,11.0,Санкт-Петербург,False,True,True,True,False,False,False,True,True,True,False,True,45000
Junior JavaScript Developer,Государственный архив,Программист,07.05.2019 14:29,Не указано,высшее,М,25,6.0,другие,True,True,True,False,True,True,False,True,True,True,False,True,20000
Программист-стажер,Траскон Технолоджи,Стажёр,24.10.2018 11:38,Имеется собственный автомобиль,неоконченное высшее,М,22,3.0,Москва,False,False,False,True,False,False,False,True,False,False,False,True,25000
HTML-верстальщик,Концепт-центр Лаборатория,Веб-разработчик,06.04.2019 10:47,Не указано,среднее специальное,М,27,26.0,другие,True,False,False,True,False,True,True,False,False,False,False,True,30000
Системный администратор,Арида софт,Инженер-программист,09.04.2019 12:18,Имеется собственный автомобиль,неоконченное высшее,М,24,21.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,17217
Аналитик,Пенсионный фонд Российской Федерации,Аналитик,19.04.2019 00:24,Не указано,неоконченное высшее,М,19,8.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,20000
.Net разработчик,ООО «Центр информационных технологий»,Программист-разработчик,22.04.2019 04:40,Не указано,высшее,М,23,15.0,другие,True,False,True,False,False,False,False,True,True,False,False,False,60000
Модератор сайта,Dmir.ru,Модератор,16.04.2019 15:03,Не указано,среднее специальное,М,28,17.0,Москва,False,False,True,True,False,False,False,False,False,False,False,True,40000
Программист-разработчик,ЗАО АСТ,Специалист,25.04.2019 17:00,Не указано,высшее,М,26,9.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,100000
"It-специалист, менеджер",ТЭКБ,Менеджер по продажам,26.04.2019 23:20,Имеется собственный автомобиль,неоконченное высшее,Ж,24,8.0,другие,False,False,True,True,False,False,False,False,True,False,False,True,25000
"Диспетчер,менеджер по продажам",Ростелеком,Диспетчер,21.04.2019 09:14,Не указано,среднее специальное,Ж,21,6.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
Системный администратор,ЧП Горин Г.А.,Системный администратор,22.04.2019 10:49,Не указано,высшее,М,25,12.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,14308
SEO-оптимизатор,smm,SMM-менеджер,25.04.2019 00:07,Не указано,высшее,Ж,21,1.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,20000
QA Engineer,ООО КПБС,QA Engineer,25.04.2019 20:37,Имеется собственный автомобиль,высшее,М,25,21.0,Санкт-Петербург,True,True,True,True,False,False,False,False,True,False,False,True,100000
Специалист по IT,Макдоналдс,"член бригады, сотрудник кассовой комнаты",11.04.2019 13:49,Не указано,среднее специальное,М,21,9.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,30000
Инженер-программист,НПП Автоматика,Инженер-программист,19.04.2019 10:18,Не указано,высшее,М,36,5.0,другие,False,False,True,False,False,False,False,False,True,False,False,True,35000
Контент-редактор,Samsung Electronics,Специалист технической поддержки,26.04.2019 07:58,Не указано,высшее,Ж,23,14.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,20418
Оператор,"TOO ""protau""",Продавец кассир,17.04.2019 11:11,Не указано,среднее специальное,Ж,22,14.0,другие,True,False,True,False,False,False,False,False,True,True,False,False,23669
Продавец-консультант,Сеть магазинов цифровой и бытовой техники DNS,Продавец-консультант,19.04.2019 15:48,Не указано,высшее,М,36,6.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,30000
Интернет-маркетолог,"ООО ""Лидер Ойл 72""",Менеджер по продажам смазочных материалов,08.04.2019 18:39,Не указано,неоконченное высшее,М,21,20.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,25000
Инженер,TELE2 Россия,Инженер по обслуживанию сети,17.04.2019 21:35,Имеется собственный автомобиль,высшее,М,25,22.0,другие,True,True,True,False,False,False,False,True,True,True,False,False,35000
Оператор ПК,Профессионал,Оператор call-центра,08.04.2019 20:00,Не указано,неоконченное высшее,М,24,16.0,другие,False,False,False,True,False,False,False,True,False,True,False,True,20000
Специалист по информационным технологиям,"АО ""ТЗ Октябрь""",Инженер-программист,08.04.2019 10:20,Не указано,высшее,М,23,13.0,другие,True,True,True,True,False,True,False,True,True,False,False,True,25000
Мастер по ремонту компьютеров,"Сервисный центр ""КомпТом""",Мастер по ремонту компьютеров,14.05.2019 15:31,Не указано,высшее,М,23,9.0,другие,False,True,False,True,True,True,False,True,False,True,False,True,10000
Программист-разработчик,Альфа-Банк (Россия),System Architect,07.01.2019 13:37,Не указано,высшее,М,23,20.0,Москва,True,False,True,True,False,False,False,True,True,False,False,True,90000
Специалист технической поддержки,Kelly Services,Оператор call-центра NEXT,07.05.2019 09:50,Не указано,среднее специальное,Ж,25,24.0,другие,False,True,True,True,False,False,False,True,True,True,False,False,40000
Специалист по защите информации,ИП Гайсин Руслан Александрович,Программист,14.04.2019 22:40,Имеется собственный автомобиль,высшее,М,25,18.0,другие,True,False,True,False,False,False,False,False,True,True,True,True,35000
Менеджер по продажам,Банк Восточный,Менеджер по операционно-кредитной работе,22.04.2019 09:29,Не указано,среднее специальное,Ж,22,19.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,50000
Инженер-тестировщик,"Тензор, ООО",Инженер-тестировщик,25.04.2019 10:38,Не указано,высшее,Ж,22,12.0,другие,False,False,True,True,True,False,False,True,True,True,False,True,32000
Level Designer/Game Designer(Стажер),Future Lab,Level designer,06.04.2019 19:24,Не указано,среднее специальное,М,20,6.0,город-миллионник,True,False,True,False,False,False,False,False,True,False,False,False,40000
Продавец-кассир,Суши бар Relaxs,Администратор ресторана,05.04.2019 23:49,Не указано,среднее специальное,Ж,20,4.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,25000
PHP-программист,ООО Франчайзинг5,PHP-программист,13.05.2019 13:43,Не указано,высшее,М,23,16.0,город-миллионник,True,False,True,True,True,False,False,False,False,False,False,True,65000
Специалист по IT,СОГБУ МФЦ г. Смоленска,Системный администратор,14.04.2019 12:34,Не указано,высшее,М,26,20.0,другие,True,False,True,False,False,False,False,False,True,False,False,False,25000
Менеджер интернет-магазина,Fast Anime Studio,Администратор магазина,10.04.2019 14:15,Не указано,высшее,Ж,23,22.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,30000
Помощник системного администратора,Unicom ООО,Водитель-курьер,22.04.2019 17:19,Не указано,неоконченное высшее,М,22,19.0,Санкт-Петербург,True,True,True,False,False,True,False,True,True,True,False,False,23000
Специалист аналитического отдела,ООО Риал-Маркетинг,Специалист отдела аналитики,26.04.2019 16:47,Имеется собственный автомобиль,высшее,Ж,26,23.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,45000
Стажер 1C,МБОУ школа 96 г.о. Самара,Учитель информатики,22.04.2019 15:46,Не указано,неоконченное высшее,Ж,22,19.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,20000
Ведущий инженер-проектировщик ОВИК,"ООО НТЦ ""ЭКСПЕРТИЗА""",Ведущий инженер-проектировщик,21.04.2019 23:42,Не указано,высшее,М,44,4.0,Москва,False,False,False,True,False,False,False,False,False,False,False,True,30000
Специалист службы поддержки пользователей,"ГетТакси Рус, ООО",Продавец-консультант,15.04.2019 18:23,Не указано,высшее,М,23,7.0,Москва,True,True,True,True,True,True,True,True,True,True,False,True,40000
Веб-программист,"IT ALLIANCE, TOO",Web-программист,26.04.2019 18:33,Не указано,высшее,М,21,7.0,другие,True,True,True,False,False,False,False,False,True,True,False,False,11910
"Программист-разработчик, web-разработчик",Mail.Ru Group,Web-разработчик,25.04.2019 09:16,Не указано,неоконченное высшее,М,22,14.0,Москва,True,True,True,False,False,False,False,True,True,False,False,False,100000
"Монтажник слаботочных систем, монтажник систем кондиционирования и др.",Электронстрой,Монтажник слаботочных систем,16.04.2019 10:52,Не указано,неоконченное высшее,М,24,7.0,Москва,False,False,True,False,False,True,False,False,True,False,False,False,35000
Банковский сотрудник,Росгосстрах,Специалист по страхованию,11.05.2019 23:58,Не указано,среднее специальное,М,20,4.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
Оператор,Пятерочка,Продавец-кассир,09.04.2019 21:01,Не указано,среднее специальное,Ж,23,7.0,другие,False,False,False,True,False,False,False,False,False,False,True,False,20000
Менеджер контактного центра,АО Комфортел,Оператор call-центра,12.04.2019 11:15,Не указано,среднее специальное,Ж,30,26.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,15000
"Младший Аналитик (Младший программист, VBA, SQL, Excel)","ООО ""ГК ЦСЭР""",Специалист,11.04.2019 11:15,Не указано,высшее,М,34,29.0,Москва,True,True,True,True,True,True,False,True,True,True,False,True,1000
2D-художник,Индивидуальное предпринимательство / частная практика / фриланс,2D-художник,17.04.2019 06:13,Не указано,высшее,Ж,25,16.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,30000
Специалист по защите информации,"ЦентрИнформ, ФГУП",Ведущий Инженер,07.05.2019 16:33,Не указано,высшее,Ж,23,9.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,25000
Инженер,Чебоко Кофе&Чай,Водитель-экспедитор,18.04.2019 13:40,Имеется собственный автомобиль,высшее,М,24,6.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,25000
Менеджер,Мобильные ТелеСистемы (МТС),Специалист по продажам,18.04.2019 12:36,Имеется собственный автомобиль,неоконченное высшее,М,23,12.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,50000
Системный администратор,"Чувашкабель, завод , ОАО",Инженер АСУ ТП,25.04.2019 12:51,Имеется собственный автомобиль,среднее специальное,М,22,18.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,50000
Project manager,Easybrain,Ads monetization manager,26.04.2019 13:20,Не указано,высшее,М,23,19.0,другие,False,True,True,True,False,False,False,True,True,True,False,True,32339
Системный администратор,"Май, ООО",Торговый представитель,08.04.2019 19:17,Не указано,среднее специальное,М,22,20.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Python3/Django developer,Flat12,Django backend developer,18.04.2019 10:24,Не указано,высшее,М,26,11.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,True,80000
Менеджер,Гранд Строй,Заместитель генерального директора,22.04.2019 16:33,Не указано,среднее специальное,М,23,21.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,80000
Программист,МегаФон,Специалист по обслуживанию  в контактном центре,11.04.2019 11:34,Не указано,неоконченное высшее,М,20,9.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Старший менеджер,Группа компаний 8 марта,Продавец-консультант,07.05.2019 15:04,Не указано,высшее,Ж,27,16.0,город-миллионник,False,True,True,True,False,False,False,True,True,True,False,True,40000
Монтажник слаботочных систем,Индивидуальное предпринимательство / частная практика / фриланс,Монтажник слаботочных систем,22.04.2019 10:26,Имеется собственный автомобиль,неоконченное высшее,М,21,3.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,23000
Инженер,ОАО«Стойленский ГОК»,электромонтер по ремонту и обслуживанию электрооборудования,22.04.2019 18:22,Не указано,среднее специальное,М,24,9.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,40000
Html верстальщик,"Сеть детских магазинов ""Тачен""",Администратор сайта,25.04.2019 10:58,Не указано,высшее,М,26,21.0,другие,True,True,True,True,True,True,False,True,True,True,False,True,15000
Менеджер,"ООО ""СТ-Сервис""",Офис-менеджер,17.04.2019 15:02,Не указано,среднее специальное,М,23,7.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,20000
Инженер связи,Улыбка радуги,Инспектор-ревизор,19.04.2019 16:37,Не указано,высшее,Ж,22,14.0,Санкт-Петербург,False,False,True,True,False,True,False,True,False,True,False,True,20000
Аналитик,"Центр Финансовых Технологий, Группа компаний",Старший инженер-тестировщик,22.04.2019 18:57,Не указано,высшее,Ж,23,20.0,город-миллионник,True,True,True,True,True,False,False,True,True,True,False,False,45000
Менеджер интернет-магазина,Корстон Москва,Bellman,18.04.2019 13:59,Не указано,неоконченное высшее,М,24,20.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,40000
QA engineer,ООО «White code»,QA engineer,26.04.2019 03:04,Не указано,высшее,М,34,28.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,48592
Монтажник,Интернэшнл Ресторантс Брэндс,Член бригады(команды),07.05.2019 13:49,Не указано,среднее специальное,М,24,20.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,35000
Системный администратор,Профмонтаж,Системный администратор,14.04.2019 21:28,Не указано,среднее специальное,М,21,8.0,Москва,False,False,True,True,False,False,False,True,True,True,False,False,50000
Business Analyst,"ООО ""Софтрайт""",Инженер-программист,26.04.2019 00:18,Не указано,высшее,Ж,22,6.0,другие,False,True,True,True,False,True,False,True,True,False,False,False,18379
Системный администратор Windows,Государственная инспекция труда в Тамбовской области,Оператор ЭВМ,19.04.2019 07:25,Не указано,среднее специальное,М,22,19.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,20000
Специалист по видеонаблюдению,Emex,Кладовщик,25.04.2019 20:09,Не указано,высшее,М,22,6.0,город-миллионник,False,False,True,False,False,False,False,False,False,True,False,False,22000
Программист/It специалист,АстанаСуАрнасы,Инспектор,22.04.2019 11:29,Имеется собственный автомобиль,высшее,М,22,12.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,20241
Бизнес-аналитик,"ВТБ Страхование, CК",Аналитик,06.04.2019 23:31,Не указано,высшее,М,27,25.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,120000
Специалист IT отдела,Non Stop Nails,Специалист IT отдела,26.04.2019 10:09,Не указано,неоконченное высшее,М,22,15.0,другие,False,False,True,True,False,False,False,True,True,True,False,True,25000
Инженер связи,СДЭК,Оператор call-центра,17.04.2019 17:01,Не указано,высшее,Ж,23,19.0,Санкт-Петербург,False,True,True,False,False,True,False,True,True,True,False,False,50000
Программист Python,Виста,Программист Python,22.04.2019 16:29,Не указано,высшее,М,19,5.0,Санкт-Петербург,True,True,True,True,False,False,False,False,True,False,False,True,50000
"Программист-разработчик, тестировщик","ООО ""Флагманбус""","Специалист по закупкам, Системный администратор",22.04.2019 11:32,Не указано,высшее,М,22,14.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,12212
Монтажник ученик,Альфа-Банк (Россия),Менеджер по привлечению клиентов малого и среднего бизнеса,13.04.2019 07:00,Не указано,высшее,М,27,22.0,город-миллионник,False,True,True,False,False,True,False,False,True,False,False,False,25000
